Station,Energy,Predicted,Amount,Distance
CS_1,56,60.02535169,4.025351691,2
CS_3,160,165.07517380000002,5.075173815,16
CS_4,93,97.53259949,4.532599493,28
CS_5,86,90.4543473,4.454347296,16
CS_6,140,144.9416424,4.941642423,47
CS_7,132,136.8828019,4.882801923,9
CS_8,183,188.2094862,5.209486153,34
CS_9,89,93.48863637,4.48863637,25
CS_10,198,203.288267,5.288267031,39
CS_11,153,158.0304379,5.030437921,53
CS_12,219,224.38907169999996,5.38907173,4
CS_13,107,111.67282879999999,4.672828834,3
CS_14,256,261.5451774,5.545177444,4
