Station,Energy,Predicted,Amount,Dirty_bit,Distance
CS_1,129,133.8598124,4.8598124039999995,0,7270
CS_2,60,64.09434456,4.094344562,0,7270
CS_3,114,118.73619840000002,4.736198448000001,0,7254
CS_4,94,98.54329478,4.543294782,1,7241
CS_5,102,106.6249728,4.624972813,0,7286
CS_6,142,146.9558271,4.955827058000001,0,7317
CS_7,125,129.82831370000002,4.828313737,0,7266
CS_8,78,82.35670883,4.356708827,0,7239
CS_9,114,118.73619840000002,4.736198448000001,1,7258
CS_10,107,111.6728288,4.672828834,0,7281
CS_11,110,114.7004804,4.700480366,0,7265
CS_12,256,261.5451774,5.545177444,0,7266
CS_13,116,120.7535902,4.753590191,0,7269
