Sl_No,L1,L2,Distance
1,CS_1,CS_2,2.509391346000683
2,CS_1,CS_3,17.299907813626767
3,CS_1,CS_4,28.734443783368853
4,CS_1,CS_5,16.82694290131858
5,CS_1,CS_6,48.76674875483669
6,CS_1,CS_7,6.894642467040439
7,CS_1,CS_8,32.84044121052602
8,CS_1,CS_9,23.58608210440841
9,CS_1,CS_10,36.85951598301582
10,CS_1,CS_11,50.547925355474426
11,CS_1,CS_12,5.338918157261436
12,CS_1,CS_13,1.4060722154777476
13,CS_1,CS_14,7270.269931390925
14,CS_2,CS_1,2.509391346000683
15,CS_2,CS_3,16.93768841972791
16,CS_2,CS_4,28.941929315693194
17,CS_2,CS_5,16.200329036194347
18,CS_2,CS_6,47.894767923197435
19,CS_2,CS_7,9.285629753445571
20,CS_2,CS_8,34.17308242215276
21,CS_2,CS_9,25.95590073943284
22,CS_2,CS_10,39.11960186100027
23,CS_2,CS_11,53.04968006273036
24,CS_2,CS_12,4.2333760893149455
25,CS_2,CS_13,3.881416610228014
26,CS_2,CS_14,7270.688292135458
27,CS_3,CS_1,17.299907813626767
28,CS_3,CS_2,16.93768841972791
29,CS_3,CS_4,12.776811225184877
30,CS_3,CS_5,32.8797961861249
31,CS_3,CS_6,63.8256180705965
32,CS_3,CS_7,17.690143910957897
33,CS_3,CS_8,23.289690411598563
34,CS_3,CS_9,27.306883009451766
35,CS_3,CS_10,49.608290919606254
36,CS_3,CS_11,58.01915224727715
37,CS_3,CS_12,12.75274601952745
38,CS_3,CS_13,17.275387335855758
39,CS_3,CS_14,7254.234494994865
40,CS_4,CS_1,28.734443783368853
41,CS_4,CS_2,28.941929315693194
42,CS_4,CS_3,12.776811225184877
43,CS_4,CS_5,45.128241491293736
44,CS_4,CS_6,76.46036452786852
45,CS_4,CS_7,26.819909809170017
46,CS_4,CS_8,15.413421477109882
47,CS_4,CS_9,29.406817144030317
48,CS_4,CS_10,55.29250082233571
49,CS_4,CS_11,59.14988542790895
50,CS_4,CS_12,24.97336512659845
51,CS_4,CS_13,28.33107780976174
52,CS_4,CS_14,7241.771353691923
53,CS_5,CS_1,16.82694290131858
54,CS_5,CS_2,16.200329036194347
55,CS_5,CS_3,32.8797961861249
56,CS_5,CS_4,45.128241491293736
57,CS_5,CS_6,31.97694932278451
58,CS_5,CS_7,21.850966802030257
59,CS_5,CS_8,49.43959682949394
60,CS_5,CS_9,36.565238799959985
61,CS_5,CS_10,38.342887875885665
62,CS_5,CS_11,57.02181953773255
63,CS_5,CS_12,20.19143982027161
64,CS_5,CS_13,17.6595843430811
65,CS_5,CS_14,7286.887739703365
66,CS_6,CS_1,48.76674875483669
67,CS_6,CS_2,47.894767923197435
68,CS_6,CS_3,63.8256180705965
69,CS_6,CS_4,76.46036452786852
70,CS_6,CS_5,31.97694932278451
71,CS_6,CS_7,53.65179472785987
72,CS_6,CS_8,81.39041502617607
73,CS_6,CS_9,66.86403839617557
74,CS_6,CS_10,58.58040773186918
75,CS_6,CS_11,79.9144715405164
76,CS_6,CS_12,51.58471837598631
77,CS_6,CS_13,49.63501256582354
78,CS_6,CS_14,7317.951564161166
79,CS_7,CS_1,6.894642467040439
80,CS_7,CS_2,9.285629753445571
81,CS_7,CS_3,17.690143910957897
82,CS_7,CS_4,26.819909809170017
83,CS_7,CS_5,21.850966802030257
84,CS_7,CS_6,53.65179472785987
85,CS_7,CS_8,27.83680475530647
86,CS_7,CS_9,16.691706636721342
87,CS_7,CS_10,32.569583252285376
88,CS_7,CS_11,44.405588046765025
89,CS_7,CS_12,9.966594879705637
90,CS_7,CS_13,5.494855933762203
91,CS_7,CS_14,7266.803699733584
92,CS_8,CS_1,32.84044121052602
93,CS_8,CS_2,34.17308242215276
94,CS_8,CS_3,23.289690411598563
95,CS_8,CS_4,15.413421477109882
96,CS_8,CS_5,49.43959682949394
97,CS_8,CS_6,81.39041502617607
98,CS_8,CS_7,27.83680475530647
99,CS_8,CS_9,20.996103157489095
100,CS_8,CS_10,47.78086302539009
101,CS_8,CS_11,46.86044768374434
102,CS_8,CS_12,31.352439959308896
103,CS_8,CS_13,31.843876404354596
104,CS_8,CS_14,7239.543981941499
105,CS_9,CS_1,23.58608210440841
106,CS_9,CS_2,25.95590073943284
107,CS_9,CS_3,27.306883009451766
108,CS_9,CS_4,29.406817144030317
109,CS_9,CS_5,36.565238799959985
110,CS_9,CS_6,66.86403839617557
111,CS_9,CS_7,16.691706636721342
112,CS_9,CS_8,20.996103157489095
113,CS_9,CS_10,26.906970908992744
114,CS_9,CS_11,30.758965988765638
115,CS_9,CS_12,25.811955804884903
116,CS_9,CS_13,22.184441008282594
117,CS_9,CS_14,7258.574192073913
118,CS_10,CS_1,36.85951598301582
119,CS_10,CS_2,39.11960186100027
120,CS_10,CS_3,49.608290919606254
121,CS_10,CS_4,55.29250082233571
122,CS_10,CS_5,38.342887875885665
123,CS_10,CS_6,58.58040773186918
124,CS_10,CS_7,32.569583252285376
125,CS_10,CS_8,47.78086302539009
126,CS_10,CS_9,26.906970908992744
127,CS_10,CS_11,21.423417457193178
128,CS_10,CS_12,41.78112877281331
129,CS_10,CS_13,35.83300024983662
130,CS_10,CS_14,7281.090733783534
131,CS_11,CS_1,50.547925355474426
132,CS_11,CS_2,53.04968006273036
133,CS_11,CS_3,58.01915224727715
134,CS_11,CS_4,59.14988542790895
135,CS_11,CS_5,57.02181953773255
136,CS_11,CS_6,79.9144715405164
137,CS_11,CS_7,44.405588046765025
138,CS_11,CS_8,46.86044768374434
139,CS_11,CS_9,30.758965988765638
140,CS_11,CS_10,21.423417457193178
141,CS_11,CS_12,54.369123623390855
142,CS_11,CS_13,49.23200543526038
143,CS_11,CS_14,7265.9457505676155
144,CS_12,CS_1,5.338918157261436
145,CS_12,CS_2,4.2333760893149455
